UniProtId,Label,Gene_Name,hgnc_symbol
P41229,reviewed,KDM5C_HUMAN,KDM5C
P23435,reviewed,CBLN1_HUMAN,CBLN1
Q5JVG8,reviewed,ZN506_HUMAN,ZN506
Q96B21,reviewed,TM45B_HUMAN,TM45B
Q9NZD2,reviewed,GLTP_HUMAN,GLTP
Q9BW60,reviewed,ELOV1_HUMAN,ELOV1
Q96LM9,reviewed,CT173_HUMAN,CT173
Q9ULC3,reviewed,RAB23_HUMAN,RAB23
Q03989,reviewed,ARI5A_HUMAN,ARI5A
Q7RTS7,reviewed,K2C74_HUMAN,K2C74
Q5U4P2,reviewed,ASPH1_HUMAN,ASPH1
Q9H583,reviewed,HEAT1_HUMAN,HEAT1
Q8NCH0,reviewed,CHSTE_HUMAN,CHSTE
Q8TAF7,reviewed,ZN461_HUMAN,ZN461
Q9BSA9,reviewed,TM175_HUMAN,TM175
P0DI80,reviewed,SMIM6_HUMAN,SMIM6
Q701N2,reviewed,KRA55_HUMAN,KRA55
P23434,reviewed,GCSH_HUMAN,GCSH
Q92567,reviewed,F168A_HUMAN,F168A
A8MZ36,reviewed,EVPLL_HUMAN,EVPLL
Q12899,reviewed,TRI26_HUMAN,TRI26
Q9BW61,reviewed,DDA1_HUMAN,DDA1
P34913,reviewed,HYES_HUMAN,HYES
Q8WVP7,reviewed,LMBR1_HUMAN,LMBR1
Q02747,reviewed,GUC2A_HUMAN,GUC2A
P21815,reviewed,SIAL_HUMAN,SIAL
Q99442,reviewed,SEC62_HUMAN,SEC62
Q8N4Y2,reviewed,EFC4A_HUMAN,EFC4A
P0DI81,reviewed,TPC2A_HUMAN,TPC2A
Q16676,reviewed,FOXD1_HUMAN,FOXD1
Q9Y6L6,reviewed,SO1B1_HUMAN,SO1B1
Q5VV67,reviewed,PPRC1_HUMAN,PPRC1
Q9BW66,reviewed,CINP_HUMAN,CINP
Q9Y6V0,reviewed,PCLO_HUMAN,PCLO
Q7RTS1,reviewed,BHA15_HUMAN,BHA15
P34910,reviewed,EVI2B_HUMAN,EVI2B
Q3SYG4,reviewed,PTHB1_HUMAN,PTHB1
Q8TAF5,reviewed,LQK1_HUMAN,LQK1
Q8NGK0,reviewed,O51G2_HUMAN,O51G2
O00488,reviewed,ZN593_HUMAN,ZN593
Q7L945,reviewed,ZN627_HUMAN,ZN627
Q9Y6L7,reviewed,TLL2_HUMAN,TLL2
Q701N4,reviewed,KRA52_HUMAN,KRA52
Q5PRF9,reviewed,SMAG2_HUMAN,SMAG2
Q92569,reviewed,P55G_HUMAN,P55G
Q96B26,reviewed,EXOS8_HUMAN,EXOS8
Q24JP5,reviewed,T132A_HUMAN,T132A
Q5H913,reviewed,AR13A_HUMAN,AR13A
Q9Y623,reviewed,MYH4_HUMAN,MYH4
Q9ULC0,reviewed,MUCEN_HUMAN,MUCEN
P0C7T3,reviewed,O56A5_HUMAN,O56A5
Q76B58,reviewed,BRNP3_HUMAN,BRNP3
Q8WVP5,reviewed,TP8L1_HUMAN,TP8L1
P21817,reviewed,RYR1_HUMAN,RYR1
Q8IV31,reviewed,TM139_HUMAN,TM139
Q08708,reviewed,CLM6_HUMAN,CLM6
Q8NGK1,reviewed,O51G1_HUMAN,O51G1
Q13936,reviewed,CAC1C_HUMAN,CAC1C
Q96CM8,reviewed,ACSF2_HUMAN,ACSF2
P41225,reviewed,SOX3_HUMAN,SOX3
A2RUB1,reviewed,MEIOC_HUMAN,MEIOC
P10909,reviewed,CLUS_HUMAN,CLUS
Q9Y620,reviewed,RA54B_HUMAN,RA54B
Q7RTS3,reviewed,PTF1A_HUMAN,PTF1A
P58062,reviewed,ISK7_HUMAN,ISK7
P61289,reviewed,PSME3_HUMAN,PSME3
Q8IV32,reviewed,CCD71_HUMAN,CCD71
Q8TAF3,reviewed,WDR48_HUMAN,WDR48
Q8NGK2,reviewed,O52B4_HUMAN,O52B4
Q9NWK9,reviewed,BCD1_HUMAN,BCD1
P41226,reviewed,UBA7_HUMAN,UBA7
Q14449,reviewed,GRB14_HUMAN,GRB14
Q2TB90,reviewed,HKDC1_HUMAN,HKDC1
A6NFE3,reviewed,EFC10_HUMAN,EFC10
P0C7T5,reviewed,ATX1L_HUMAN,ATX1L
O75129,reviewed,ASTN2_HUMAN,ASTN2
